НАЗВАНИЕ,ГОРОД,ID ТОЧКИ,АДРЕС,РЕЖИМ РАБОТЫ
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Ветеранов, 114, корп. 1, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"ул. Маршала Говорова, 12, корп. 1, Санкт-Петербург",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"просп. Ветеранов, 130, Санкт-Петербург",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"Яхтенная ул., 10, корп. 1, Санкт-Петербург",Круглосуточно
Сбер Логистика,Санкт-Петербург,Почтовый терминал,"просп. Ветеранов, 78, Санкт-Петербург",Открыто до 00:00
Сберлогистика,Санкт-Петербург,Почтовый терминал,"просп. Энгельса, 124, корп. 1, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Средний просп. Васильевского острова, 35, Санкт-Петербург",До открытия 20 мин
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Стачек, 90, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"ул. Мира, 10, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"Балканская площадь, 5АД, Санкт-Петербург",До открытия 20 мин
Сбер Логистика,Санкт-Петербург,Почтовый терминал,"Ленинский просп., 82, корп. 1, Санкт-Петербург",Круглосуточно
Сбер Логистика,Санкт-Петербург,Почтовый терминал,"Ленинский просп., 71, корп. 1, Санкт-Петербург",Открыто до 00:00
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Просвещения, 87, корп. 1, Санкт-Петербург",До открытия 20 мин
СберЛогистика,Санкт-Петербург,Почтовый терминал,"ул. Коммуны, 58, Санкт-Петербург",До открытия 20 мин
Сберлогистика,Санкт-Петербург,Почтовый терминал,"ш. Революции, 16, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"ул. Савушкина, 128, корп. 1Б, Санкт-Петербург",Открыто до 01:00
СберЛогистика,Санкт-Петербург,Почтовый терминал,"ул. Смолячкова, 19, Санкт-Петербург, Сбербанк",До открытия 20 мин
СберЛогистика,Санкт-Петербург,Почтовый терминал,"Литейный просп., 35, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"Думская ул., 1-3, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Просвещения, 53, корп. 1, Санкт-Петербург, подъезд 10",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"ул. Типанова, 27/39, Санкт-Петербург",До открытия 20 мин
СберЛогистика,Санкт-Петербург,Почтовый терминал,"Замшина ул., 15, Санкт-Петербург",Открыто до 01:00
СберЛогистика,Санкт-Петербург,Почтовый терминал,"Лиговский просп., 30, Санкт-Петербург, Сбербанк",Временно не работает
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Каменноостровский просп., 32, Санкт-Петербург",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"Большой просп. Петроградской стороны, 56, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Энгельса, 21, Санкт-Петербург",Открыто до 01:00
СберЛогистика,Санкт-Петербург,Почтовый терминал,"Московский просп., 190, Санкт-Петербург",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"просп. Сизова, 30, корп. 1, Санкт-Петербург",Открыто до 19:30
Сберлогистика,Санкт-Петербург,Почтовый терминал,"Богатырский просп., 10, Санкт-Петербург",До открытия 20 мин
Сберлогистика,Санкт-Петербург,Почтовый терминал,"Ленинский просп., 168, Санкт-Петербург, Сбербанк",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"аллея Поликарпова, 6, корп. 1, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"площадь Карла Фаберже, 8Б, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Космонавтов, 63, корп. 1, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Тореза, 9, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Сытнинская ул., 12, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Славы, 50/48, Санкт-Петербург",До открытия 20 мин
Сберлогистика,Санкт-Петербург,Почтовый терминал,"Богатырский просп., 51, корп. 1, Санкт-Петербург",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"просп. Славы, 16, Санкт-Петербург",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"Народная ул., 2, Санкт-Петербург",До открытия 20 мин
Сберлогистика,Санкт-Петербург,Почтовый терминал,"Ленинский просп., 117, корп. 1, Санкт-Петербург",Открыто до 01:00
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Науки, 41, Санкт-Петербург, Сбербанк",Открыто до 01:00
СберЛогистика,Санкт-Петербург,Почтовый терминал,"Московский просп., 220, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Луначарского, 64",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"просп. Просвещения, 100/121",Закрыто до 11:00
СберЛогистика,Санкт-Петербург,Почтовый терминал,"Бассейная ул., 17",До открытия 20 мин
Сберлогистика,Санкт-Петербург,Банк,"Земский пер., 11, корп. 1",Круглосуточно
СберЛогистика,Санкт-Петербург,не указан,"просп. Просвещения, 78",Круглосуточно
Сберлогистика,Санкт-Петербург,не указан,"просп. Авиаконструкторов, 21, корп. 1",Круглосуточно
СберЛогистика,Санкт-Петербург,не указан,"Гражданский просп., 105, корп. 1",До открытия 20 мин
СберЛогистика,Санкт-Петербург,не указан,"просп. Просвещения, 67",Круглосуточно
Сбер Логистика,Санкт-Петербург,не указан,"Дунайский просп., 27, корп. 1Б",Открыто до 23:00
СберЛогистика,Санкт-Петербург,не указан,"просп. Ветеранов, 95, корп. 1",Круглосуточно
СберЛогистика,Санкт-Петербург,не указан,"Звёздная ул., 1",До открытия 20 мин
Сбербанк логистика,Санкт-Петербург,не указан,"Будапештская ул., 92В",До открытия 20 мин
Сбербанк России,Санкт-Петербург,не указан,"просп. Большевиков, 9, корп. 1",Временно не работает
Сберлогистика,Уфа,Почтовый терминал,"ул. Менделеева, 130, Уфа",Круглосуточно
Сбер Логистика,Уфа,Почтовый терминал,"Айская ул., 69, Уфа",Круглосуточно
СберЛогистика,Уфа,Почтовый терминал,"ул. Софьи Перовской, 44, Уфа",Открыто до 19:00
СберЛогистика,Уфа,Почтовый терминал,"просп. Октября, 116, Уфа",Круглосуточно
Сбер Логистика,Уфа,Почтовый терминал,"ул. Ахметова, 300, Уфа",Открыто до 18:00
Сберлогистика,Уфа,Почтовый терминал,"Кольцевая ул., 18, Уфа",Круглосуточно
Сбер логистика,Уфа,Почтовый терминал,"ул. Софьи Перовской, 19/1, Уфа",Круглосуточно
СберЛогистика,Уфа,Почтовый терминал,"Вологодская ул., 52, Уфа",Круглосуточно
СберЛогистика,Уфа,Почтовый терминал,"ул. Георгия Мушникова, 13/1, Уфа",Круглосуточно
Сбер логистика,Уфа,Почтовый терминал,"ул. Ухтомского, 10, Уфа",Круглосуточно
СберЛогистика,Уфа,Почтовый терминал,"ул. Ферина, 4, Уфа",Открыто до 18:30
СберЛогистика,Уфа,Почтовый терминал,"просп. Октября, 106, Уфа",Круглосуточно
СберЛогистика,Уфа,Почтовый терминал,"Дагестанская ул., 23, Уфа",Круглосуточно
СберЛогистика,Уфа,Почтовый терминал,"бул. Тухвата Янаби, 22, Уфа",Открыто до 18:30
Сбербанк России,Уфа,Банк,"ул. Кирова, 47, Уфа",Открыто до 19:00
Сбер Логистика,Волгоград,Почтовый терминал,"ул. Маршала Ерёменко, 98, Волгоград",Круглосуточно
Сбер Логистика,Волгоград,Почтовый терминал,"ул. Гоголя, 4, Волгоград",Круглосуточно
Сбер Логистика,Волгоград,Почтовый терминал,"ул. Маршала Ерёменко, 53, Волгоград",Круглосуточно
Сбер-логистика,Волгоград,Почтовый терминал,"просп. Металлургов, 15, Волгоград",Круглосуточно
Сбер Логистика,Волгоград,Почтовый терминал,"Рабоче-Крестьянская ул., 14, Волгоград",Круглосуточно
Сбер Логистика,Волгоград,Почтовый терминал,"ул. Генерала Штеменко, 23, Волгоград",Круглосуточно
Сбер логистика,Волгоград,Почтовый терминал,"Университетский просп., 96, Волгоград",Круглосуточно
СберЛогистика,Волгоград,Почтовый терминал,"ул. Батова, 1, Волгоград",Круглосуточно
Сбер логистика,Волгоград,Почтовый терминал,"Университетский просп., 23, Волгоград",Круглосуточно
Сбер логистика,Волгоград,Почтовый терминал,"Коммунистическая ул., 40, Волгоград",Круглосуточно
Сбер логистика,Волгоград,Почтовый терминал,"просп. Героев Сталинграда, 50А, Волгоград",Круглосуточно
Сбер логистика,Волгоград,Почтовый терминал,"просп. имени В.И. Ленина, 47, Волгоград",Круглосуточно
Сбер Логистика,Волгоград,Почтовый терминал,"ул. Тулака, 40, Волгоград",Круглосуточно
Сбер Логистика,Волгоград,Почтовый терминал,"ул. 40 лет ВЛКСМ, 25, Волгоград",Открыто до 18:00
Сбер логистика,Волгоград,Почтовый терминал,"ул. Мира, 71, Волжский",Круглосуточно
Сбер логистика,Волгоград,Почтовый терминал,"просп. имени В.И. Ленина, 77, Волгоград",Круглосуточно
Постамат Сбер логистика,Волгоград,Почтовый терминал,"ул. Маршала Ерёменко, 35, Волгоград",Круглосуточно
Сбер логистика,Волгоград,Почтовый терминал,"ул. Панфёрова, 12А, Волгоград",Открыто до 17:30
"СберЛогистика, служба курьерской доставки",Волгоград,Почтовый терминал,"просп. Маршала Жукова, 101, Волгоград",Открыто до 18:30
